	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0279778	9583	Divine Secrets of the Ya-Ya Sisterhood	8.529	6.1	130	[35, 18, 10749]	2002-06-07
1	tt0279781	6020	Sorority Boys	9.769	5.0	113	[35]	2002-03-22
2	tt0279831	211888	GeGe	0.6	6.0	1	[18]	2001-01-01
3	tt0279889	12312	Joe Somebody	9.031	5.4	83	[35, 10749]	2001-12-21
4	tt0279926	291381	Lola	1.474	5.0	1	[]	2001-04-26
5	tt0280030	16690	Return to Never Land	16.041	6.2	845	[12, 14, 16, 10751]	2002-02-14
6	tt0280380	9039	Trapped	9.873	6.1	272	[28, 80, 18, 53]	2002-09-20
7	tt0280438	26225	Ash Wednesday	2.889	5.9	20	[18, 28, 80]	2002-10-11
8	tt0280460	9034	The Banger Sisters	8.175	5.6	128	[35, 18]	2002-09-20
9	tt0280486	3132	Bad Company	11.909	5.4	414	[28, 12, 35, 53]	2002-06-07
10	tt0280490	16311	The Hard Word	4.15	5.8	19	[28, 35, 80]	2002-05-30
11	tt0280491	4107	Bloody Sunday	6.986	7.4	142	[28, 12, 18, 36]	2002-01-16
12	tt0280523	44408	Carnages	1.231	7.3	3	[18]	2002-05-17
13	tt0280590	2022	Mr. Deeds	12.627	5.7	1314	[35, 10749]	2002-06-28
14	tt0280653	9045	Amen.	12.41	7.0	166	[18, 36]	2002-02-13
15	tt0280665	9280	Femme Fatale	11.626	6.2	285	[80, 53, 10749]	2002-08-29
16	tt0280674	23855	The First $20 Million Is Always the Hardest	3.707	5.9	27	[35]	2002-06-28
17	tt0280696	25921	Garage Days	3.141	5.7	14	[35, 18, 10402]	2002-10-03
18	tt0280707	5279	Gosford Park	11.326	7.0	538	[18, 9648, 53]	2001-11-07
19	tt0280720	9027	The Guru	10.312	5.2	133	[35, 10749]	2002-08-21
20	tt0280760	9685	Igby Goes Down	10.502	6.6	159	[35, 18]	2002-09-13
21	tt0280778	11889	Iris	10.218	6.5	100	[18, 10749]	2001-12-14
22	tt0281322	15070	Undisputed	12.932	6.3	300	[28, 12, 18, 53]	2002-08-23
23	tt0281358	10229	A Walk to Remember	16.926	7.6	2405	[18, 10749]	2002-01-25
24	tt0281364	2110	WASABI	10.523	6.4	630	[28, 35, 18]	2001-10-31
25	tt0281373	11888	Snow Dogs	11.77	5.4	413	[12, 35, 10751]	2002-01-18
26	tt0281534	117404	ABC Africa	2.071	4.6	11	[99]	2001-10-24
27	tt0281680	43664	The Bread, My Sweet	2.983	5.2	9	[18, 10749]	2001-04-21
28	tt0282120	14317	The Wild Thornberrys Movie	9.593	5.8	119	[12, 16, 10751]	2002-12-20
29	tt0282209	10727	Darkness Falls	14.254	5.2	289	[27, 53]	2003-01-24
30	tt0282687	16643	Life or Something Like It	8.395	5.6	277	[35, 18, 10749]	2002-04-24
31	tt0282698	15395	Love Liza	4.632	6.5	40	[35, 18]	2002-12-30
32	tt0282718	47660	ManFast	2.773	4.6	4	[35, 10749]	2003-01-01
33	tt0282768	52258	The Emperor's New Clothes	3.621	6.5	14	[35]	2001-01-01
34	tt0282856	50562	Porn Star: The Legend of Ron Jeremy	3.752	6.3	18	[99]	2001-01-01
35	tt0282965	579393	Shadow Glories	0.841	0.0	0	[]	2001-09-28
36	tt0283026	20616	Swimfan	7.703	5.1	133	[53]	2002-09-06
37	tt0283084	13768	Tuck Everlasting	6.972	6.5	261	[18, 14, 878, 10749, 10751]	2002-10-11
38	tt0283139	10994	White Oleander	9.011	7.3	205	[18]	2002-10-11
39	tt0283160	15074	Extreme Ops	6.536	4.9	50	[28, 12, 18, 53]	2002-11-27
40	tt0283283	11553	千禧曼波	7.977	7.2	64	[18]	2001-10-31
41	tt0283426	14873	The Jungle Book 2	16.606	5.8	684	[12, 16, 10751]	2003-02-07
42	tt0283431	28171	Safar e Ghandehar	7.885	6.6	38	[18]	2001-05-11
43	tt0283503	13072	Brooklyn Rules	4.041	6.0	31	[18, 28, 53]	2007-04-30
44	tt0283530	17187	The Emperor's Club	9.913	7.0	215	[18, 10749]	2002-11-22
45	tt0283632	16028	They	7.328	4.9	128	[27, 53]	2002-11-01
46	tt0283832	1958	8 femmes	12.482	7.0	480	[35, 80, 10402, 9648, 53]	2002-01-08
