	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0290210	13560	Max	6.966	6.3	55	[10752, 18]	2002-09-10
1	tt0290212	15186	Full Frontal	6.617	5.1	47	[35, 18, 10749]	2002-08-02
2	tt0290296	18221	Space Station 3D	4.231	6.6	18	[99]	2002-04-17
3	tt0290332	13408	The Wash	9.071	5.2	54	[28, 35]	2001-11-16
4	tt0290334	36658	X2	1.079	7.0	6714	[12, 28, 878, 53]	2003-04-24
5	tt0290747	18882	Man-Thing	9.002	3.9	69	[28, 14, 27]	2005-04-21
6	tt0291003	36093	Abril Despedaçado	7.022	7.4	55	[18]	2001-12-12
7	tt0291172	35172	Le fils	5.47	7.5	68	[18, 9648]	2002-05-23
8	tt0291341	9991	Mean Machine	8.989	6.2	307	[35, 18]	2001-12-26
9	tt0291502	12779	Swept Away	11.86	4.6	131	[35, 10749]	2002-10-11
10	tt0291538	34840	Une femme de ménage	2.449	5.7	18	[35, 18, 10749]	2002-11-13
11	tt0291579	12112	À la folie… pas du tout	7.557	6.7	135	[18, 10749, 53]	2002-03-27
12	tt0291988	51378	Historias mínimas	1.221	7.4	23	[35, 18]	2002-10-24
13	tt0292066	27062	蓝宇	2.961	6.9	9	[18, 10749]	2001-05-18
14	tt0292501	52735	Love in the Time of Money	2.2	5.2	2	[18, 10749]	2002-11-01
15	tt0292506	1647	The Recruit	12.34	6.3	975	[28, 53]	2003-01-31
16	tt0292527	288784	Green Card Fever	0.842	0.0	0	[]	2003-08-29
17	tt0292542	19460	El hijo de la novia	7.756	7.6	91	[35, 18, 10749]	2001-08-16
18	tt0292610	2017	No Good Deed	12.296	5.4	88	[28, 80, 18, 9648, 53]	2002-06-28
19	tt0292644	1809	The Rules of Attraction	10.476	6.4	294	[35, 18, 10749]	2002-10-11
20	tt0292963	7972	Before the Devil Knows You're Dead	10.507	7.1	757	[80, 18, 53]	2007-09-26
21	tt0293116	18300	Décalage horaire	6.371	5.7	61	[35, 18, 10749]	2002-10-30
22	tt0293342	56317	Lajja	2.995	6.3	4	[18]	2001-09-19
23	tt0293508	9833	The Phantom of the Opera	15.424	7.2	900	[18, 53, 10749]	2004-12-08
24	tt0293564	5174	Rush Hour 3	14.379	6.2	1658	[28, 35, 80]	2007-08-08
25	tt0293662	4108	The Transporter	14.575	6.6	3156	[28, 80, 53]	2002-10-02
26	tt0293815	10426	Friday After Next	14.971	6.1	194	[35]	2002-11-22
27	tt0293832	49872	Hansel & Gretel	6.536	5.4	20	[35, 10751, 14]	2002-10-16
28	tt0293899	253176	Perfect Pie	2.836	7.3	6	[]	2002-09-11
29	tt0293961	173924	The Trip	0.6	2.0	1	[]	2005-11-01
30	tt0294357	9839	Beyond Borders	9.164	6.7	240	[12, 18, 10749, 10752]	2003-10-23
31	tt0294431	113369	Le cas Pinochet	1.4	7.0	6	[99]	2001-10-10
32	tt0294662	35907	Kaante	4.336	5.7	22	[28, 53]	2002-12-20
