	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0167260	122	The Lord of the Rings: The Return of the King	39.062	8.4	14491	[28, 12, 14]	2003-12-01
1	tt0167261	121	The Lord of the Rings: The Two Towers	31.953	8.3	13688	[28, 12, 14]	2002-12-18
2	tt0167456	14623	Thunderbirds	12.09	4.6	168	[28, 12, 35, 14, 878, 10751]	2004-07-23
3	tt0168515	26244	Phish: Bittersweet Motel	2.105	6.3	4	[99, 10402]	2000-08-25
4	tt0168629	16	Dancer in the Dark	20.229	7.9	900	[18, 80, 10402]	2000-05-17
5	tt0168786	13435	Antwone Fisher	9.022	6.9	243	[18, 10749]	2002-12-19
6	tt0169102	19666	लगान	10.948	7.4	263	[12, 18, 10402, 10749]	2001-06-15
7	tt0170016	8871	How the Grinch Stole Christmas	23.563	6.6	4091	[35, 14, 10751]	2000-11-17
8	tt0170452	201724	Prince of Central Park	2.018	4.7	11	[10751]	2000-09-22
9	tt0170691	10687	Tigerland	8.252	6.7	278	[18, 10752]	2000-09-22
10	tt0171356	29076	Gun Shy	7.843	5.6	61	[28, 35, 53, 10749]	2000-02-04
11	tt0171359	10688	Hamlet	6.482	6.0	68	[18]	2000-05-12
12	tt0171433	4967	Keeping the Faith	8.521	6.0	333	[35]	2000-04-14
13	tt0171580	10480	Nurse Betty	8.687	6.0	209	[35, 80, 53]	2000-09-08
14	tt0172156	8961	Bad Boys II	30.845	6.5	2978	[28, 12, 35, 80, 53]	2003-07-18
15	tt0172495	98	Gladiator	24.982	8.1	10807	[28, 18, 12]	2000-05-01
16	tt0172632	125709	Joe Gould's Secret	2.748	6.7	7	[18]	2000-01-21
17	tt0173716	14195	Cecil B. Demented	8.815	6.4	111	[35, 80, 53]	2000-05-17
18	tt0173840	2114	Final Fantasy: The Spirits Within	14.082	6.0	818	[28, 12, 16, 14, 878, 53]	2001-07-02
19	tt0174336	23531	Whipped	4.637	3.8	23	[35, 10749]	2000-09-01
20	tt0174480	10641	Autumn in New York	10.34	6.0	364	[18, 10749]	2000-08-11
21	tt0174732	165621	Herman U.S.A.	0.6	0.0	0	[]	2001-01-01
22	tt0175142	4247	Scary Movie	18.807	6.2	3804	[35]	2000-07-07
23	tt0177068	45203	Once in the Life	2.979	5.0	3	[28, 80, 18]	2000-10-27
24	tt0177971	2133	The Perfect Storm	12.319	6.3	1209	[18]	2000-06-26
25	tt0178642	18856	The Invisible Circus	5.221	4.6	22	[18]	2001-02-23
26	tt0179098	31005	Moonlight Mile	11.711	6.3	115	[18, 10749]	2002-09-09
27	tt0179626	2749	15 Minutes	16.793	5.8	372	[28, 80, 53]	2001-03-01
28	tt0180052	11692	The Adventures of Pluto Nash	9.099	4.4	276	[28, 35, 878]	2002-08-15
29	tt0180073	10876	Quills	15.939	7.0	279	[18]	2000-11-22
30	tt0180093	641	Requiem for a Dream	6.362	8.0	5693	[80, 18]	2000-10-06
31	tt0180679	39497	Escanaba in da Moonlight	3.931	5.4	7	[35]	2001-01-26
32	tt0180734	20857	Hardball	8.74	6.5	267	[35, 10749]	2001-09-14
33	tt0180837	19600	Bossa Nova	2.547	6.1	13	[35, 18, 10749]	2000-01-01
34	tt0181151	10416	What Planet Are You From?	8.588	5.6	78	[35, 18, 10749, 878]	2000-03-03
35	tt0181536	711	Finding Forrester	8.369	7.1	596	[18]	2000-12-21
36	tt0181689	180	Minority Report	15.101	7.3	5109	[28, 9648, 878, 53]	2002-06-20
37	tt0181739	12610	Osmosis Jones	13.072	6.1	542	[28, 12, 16, 35, 10751]	2001-08-07
38	tt0181836	29015	The Specials	2.708	5.5	16	[28, 35]	2000-09-22
39	tt0181852	296	Terminator 3: Rise of the Machines	26.329	6.0	3979	[28, 878, 53]	2003-07-02
40	tt0181865	1900	Traffic	9.785	7.1	1101	[80, 18, 53]	2000-12-27
41	tt0181875	786	Almost Famous	14.057	7.5	1486	[18, 10402]	2000-09-15
42	tt0181912	52717	Éloge de l'amour	1.805	6.8	14	[18]	2001-05-16
43	tt0181945	277307	A Piece of Eden	0.845	0.0	0	[35, 18, 10749]	2000-09-15
44	tt0181984	14181	Boiler Room	10.651	6.7	353	[80, 18, 53]	2000-02-18
45	tt0182000	25208	The Caveman's Valentine	5.766	6.1	58	[18, 9648, 53]	2001-01-19
46	tt0182295	51333	Love's Labour's Lost	6.113	5.3	26	[35, 10402, 10749]	2000-03-31
47	tt0182508	77332	Urbania	2.72	5.9	15	[10749, 18]	2000-01-24
48	tt0183505	2123	Me, Myself & Irene	13.408	6.3	2022	[35]	2000-06-22
49	tt0183523	2067	Mission to Mars	10.972	5.9	746	[878]	2000-03-10
50	tt0183659	12509	Pollock	9.22	6.8	167	[18, 10749]	2000-09-06
51	tt0183790	9476	A Knight's Tale	18.208	6.8	1823	[28, 12, 18, 10749]	2001-05-11
52	tt0183869	2332	Taxi 2	10.291	6.2	947	[28, 35]	2000-03-24
53	tt0184719	270306	Maryam	0.884	8.0	1	[18]	2002-02-22
