	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0252444	9555	Rabbit-Proof Fence	8.229	7.0	181	[28, 12, 18, 36]	2002-02-04
1	tt0252480	15192	The Grey Zone	10.822	6.6	86	[18, 10752]	2001-09-13
2	tt0252501	11313	Hearts in Atlantis	8.357	6.6	247	[18, 9648]	2001-09-07
3	tt0252503	11088	Heist	8.742	6.3	247	[28, 80, 18, 53]	2001-11-09
4	tt0252866	2770	American Pie 2	18.439	6.1	2942	[35, 10749]	2001-08-10
5	tt0253126	10034	High Heels and Low Lifes	4.791	6.6	19	[28, 35, 80]	2001-07-16
6	tt0253474	423	The Pianist	20.571	8.3	4655	[18, 10752]	2002-09-17
7	tt0253556	6278	Reign of Fire	13.117	6.0	1250	[28, 12, 14]	2002-07-12
8	tt0253754	201	Star Trek: Nemesis	13.459	6.2	775	[28, 12, 878, 53]	2002-12-13
9	tt0253798	14369	Out Cold	11.043	5.7	98	[35]	2001-11-21
10	tt0253867	11812	The Sweetest Thing	9.22	5.4	607	[35, 10749]	2002-04-12
11	tt0254099	26475	The Anniversary Party	5.56	6.5	42	[35, 18]	2001-06-09
12	tt0254455	1364	Lucía y el sexo	13.723	6.6	256	[18, 10749]	2001-08-24
13	tt0254481	25516	कोई मिल गया	6.768	6.7	96	[18, 28, 878]	2003-08-08
14	tt0254686	1791	La Pianiste	13.73	7.4	468	[18, 10749]	2001-07-21
15	tt0255055	76692	IMAX - China: The Panda Adventure	3.304	4.0	1	[18, 28, 10751]	2001-06-09
16	tt0255111	35064	Dhadkan	3.595	6.4	19	[18, 10749]	2000-08-11
17	tt0255212	75217	Hamara Dil Aapke Paas Hai	2.374	4.7	8	[18]	2000-08-24
18	tt0255305	304755	Khiladi 420	2.025	4.6	7	[53, 28, 18, 35, 80]	2000-12-29
19	tt0255309	81782	कुरुक्षेत्र	1.522	6.3	3	[]	2000-11-09
20	tt0255477	10599	Pinocchio	9.475	5.9	502	[35, 14, 10751]	2002-10-11
21	tt0255653	15104	Tortilla Soup	3.405	6.0	22	[35, 18, 10749]	2001-08-24
22	tt0255798	11090	The Animal	13.011	4.7	648	[35]	2001-06-01
23	tt0255819	16161	Baby Boy	9.639	7.0	127	[80, 18, 53, 10749]	2001-06-27
24	tt0256009	1433	El espinazo del diablo	17.752	7.3	602	[14, 18, 27, 53]	2001-04-20
25	tt0256103	11845	Intimacy	11.67	6.1	79	[18, 10749]	2001-01-20
26	tt0256259	25110	Pauline & Paulette	1.46	6.8	10	[35, 18]	2001-06-27
27	tt0256276	30072	Possession	11.106	6.2	102	[18, 9648, 10749]	2002-10-02
28	tt0256380	9889	Shallow Hal	15.009	6.0	1677	[35, 10749]	2001-11-01
29	tt0256408	14268	Startup.com	3.549	6.8	14	[99]	2001-01-01
30	tt0256415	11529	Sweet Home Alabama	15.893	6.3	859	[35, 10749]	2002-09-26
31	tt0256524	2779	The Curse of the Jade Scorpion	10.873	6.5	403	[35, 80, 10749]	2001-08-05
32	tt0257044	4147	Road to Perdition	14.386	7.3	2034	[80, 18, 53]	2002-07-12
33	tt0257076	9257	S.W.A.T.	17.169	6.0	1376	[28, 80, 53]	2003-08-08
34	tt0257106	4248	Scary Movie 2	20.072	5.6	2613	[35]	2001-07-04
35	tt0257215	38960	En sång för Martin	1.914	5.5	5	[18, 10749]	2001-03-16
36	tt0257282	135807	Bolivar soy Yo	2.419	8.0	3	[35, 18, 14]	2002-06-07
