	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0035423	11232	Kate & Leopold	11.517	6.2	806	[35, 14, 878, 10749]	2001-12-25
1	tt0113026	62127	The Fantasticks	3.129	5.6	17	[35, 10402, 10749]	1995-12-27
2	tt0116748	579396	Karobaar: The Business of Love	0.6	0.0	0	[]	2000-09-15
3	tt0118589	10696	Glitter	5.826	3.7	66	[18, 10749]	2001-09-21
4	tt0118694	843	花樣年華	16.222	8.1	964	[18, 10749]	2000-05-22
5	tt0118926	20689	The Dancer Upstairs	5.743	7.0	29	[80, 18, 10749, 53]	2002-09-20
6	tt0120117	407312	शिकारी	2.188	5.0	1	[53]	2000-10-06
7	tt0120202	21991	State and Main	8.755	6.5	99	[35, 18]	2000-08-26
8	tt0120630	7443	Chicken Run	22.875	6.6	2878	[16, 35, 10751]	2000-06-21
9	tt0120667	9738	Fantastic Four	20.124	5.7	6172	[28, 12, 14, 878]	2005-06-29
10	tt0120679	1360	Frida	8.565	7.5	1143	[18, 10749]	2002-08-29
11	tt0120681	768	From Hell	14.27	6.7	1610	[27, 9648, 53]	2001-10-19
12	tt0120737	120	The Lord of the Rings: The Fellowship of the Ring	37.899	8.3	15882	[28, 12, 14]	2001-12-18
13	tt0120753	318	The Million Dollar Hotel	6.556	6.1	157	[18, 53]	2000-02-09
14	tt0120755	955	Mission: Impossible II	20.854	6.1	3912	[28, 12, 53]	2000-05-24
15	tt0120804	1576	Resident Evil	11.083	6.5	3757	[28, 27, 878]	2002-03-15
16	tt0120824	6440	The Shipping News	7.304	6.4	201	[18, 10749]	2001-12-18
17	tt0120903	36657	X-Men	1.053	7.0	7504	[12, 28, 878]	2000-07-13
18	tt0120912	608	Men in Black II	35.619	6.3	6410	[28, 12, 35, 878]	2002-07-03
19	tt0120913	7450	Titan A.E.	14.803	6.5	566	[28, 12, 16, 878, 10751]	2000-06-16
20	tt0120917	11688	The Emperor's New Groove	25.65	7.5	3814	[12, 16, 35, 14, 10751]	2000-12-09
21	tt0121164	3933	Corpse Bride	17.646	7.4	4930	[10749, 14, 16]	2005-09-12
22	tt0121765	1894	Star Wars: Episode II - Attack of the Clones	26.74	6.5	8122	[28, 12, 878]	2002-05-15
23	tt0121766	1895	Star Wars: Episode III - Revenge of the Sith	24.015	7.3	8399	[28, 12, 878]	2005-05-17
24	tt0122459	2621	Return to Me	9.683	6.4	121	[35, 10749]	2000-04-07
25	tt0125022	10833	Heartbreakers	9.088	5.9	488	[35, 80, 10749]	2001-03-23
26	tt0126029	808	Shrek	25.455	7.6	9709	[12, 16, 35, 10751, 14]	2001-05-16
27	tt0127349	37722	Waking the Dead	4.866	6.8	42	[9648, 18, 10749]	2000-03-24
28	tt0130623	10567	Dinosaur	15.192	6.4	1341	[16, 10751]	2000-05-19
29	tt0131704	17711	The Adventures of Rocky & Bullwinkle	9.569	4.0	214	[12, 16, 35, 14, 10751]	2000-06-30
30	tt0132245	10477	Driven	13.412	4.8	378	[28]	2001-04-27
31	tt0133152	869	Planet of the Apes	14.711	5.7	2386	[53, 878, 28, 12]	2001-07-25
32	tt0133240	9016	Treasure Planet	19.853	7.4	2231	[12, 16, 14, 878, 10751]	2002-11-26
33	tt0134084	4234	Scream 3	12.122	5.9	1640	[27, 9648]	2000-02-03
34	tt0134630	18074	Duets	7.067	5.9	76	[35, 18, 10402]	2000-09-09
35	tt0134847	2787	Pitch Black	9.374	6.8	2835	[28, 878, 53]	2000-02-18
36	tt0134983	10384	Supernova	10.251	4.9	183	[27, 878, 53]	2000-01-14
37	tt0138524	11775	Intolerable Cruelty	10.178	5.9	780	[35, 80, 10749]	2003-09-02
38	tt0138681	45905	The Opportunists	2.697	5.2	5	[35, 80, 18, 10749]	2000-05-17
39	tt0138749	10501	The Road to El Dorado	20.538	7.1	2162	[12, 16, 35, 10751]	2000-03-31
40	tt0138946	19457	The Yards	8.246	6.2	204	[80, 18, 10749, 53]	2000-10-20
41	tt0139654	2034	Training Day	13.622	7.4	3173	[28, 80, 18, 53]	2001-10-05
42	tt0141399	75531	Isn't She Great	2.057	4.5	22	[35, 18]	2000-01-28
43	tt0141907	24113	Town & Country	3.569	4.4	35	[35, 10749]	2001-04-27
44	tt0141926	3536	U-571	14.443	6.3	600	[28, 18, 53, 10752]	2000-04-20
45	tt0144084	1359	American Psycho	14.698	7.4	4915	[53, 18, 80, 27]	2000-04-13
46	tt0144142	40562	Committed	4.626	4.8	22	[35, 18]	2000-04-18
47	tt0144528	12107	Nutty Professor II: The Klumps	12.1	4.9	775	[35, 14, 878, 10749]	2000-07-27
48	tt0144608	123187	Sinbad: Beyond the Veil of Mists	2.782	4.8	12	[14, 878, 10751]	2000-03-24
49	tt0144964	12211	Highlander: Endgame	11.403	4.6	194	[28, 14]	2000-09-01
50	tt0145487	557	Spider-Man	25.1	7.1	11005	[14, 28]	2002-05-01
51	tt0145937	21925	Naqoyqatsi	7.602	6.4	73	[99, 18, 10402, 53]	2002-09-02
52	tt0146309	11973	Thirteen Days	11.358	7.0	365	[53]	2000-12-24
53	tt0146316	1995	Lara Croft: Tomb Raider	19.714	5.8	4071	[28, 12, 14, 53]	2001-06-11
54	tt0146882	243	High Fidelity	14.302	7.2	1117	[35, 18, 10402, 10749]	2000-03-17
55	tt0146984	4958	The Legend of Bagger Vance	11.219	6.6	511	[18, 14]	2000-11-02
56	tt0148421	174412	Looking for an Echo	1.4	0.0	0	[]	2000-11-10
57	tt0149367	31776	Where the Money Is	4.654	6.0	24	[35, 80, 18]	2000-04-14
58	tt0149624	21355	All the Pretty Horses	10.797	5.9	101	[18, 10749, 37]	2000-12-11
59	tt0151150	131940	जोश	3.947	5.8	33	[10749, 18]	2000-06-09
60	tt0153464	47724	Up at the Villa	3.322	5.7	13	[18, 10749]	2000-04-14
61	tt0156323	19419	Screwed	7.314	5.6	37	[28, 35]	2000-05-12
62	tt0156757	43079	Mad About Mambo	3.642	5.4	19	[35, 10749]	2000-04-04
63	tt0156812	17908	My Dog Skip	8.086	6.6	151	[35, 18, 10751]	2000-01-14
64	tt0156841	1831	The Next Best Thing	7.636	5.0	84	[35]	2000-03-03
65	tt0157472	15028	Clockstoppers	12.371	5.0	151	[12, 10751, 878, 53]	2002-03-17
66	tt0158622	889	The Flintstones in Viva Rock Vegas	10.493	4.6	397	[35, 10749, 10751]	2000-04-28
67	tt0159273	8007	Behind Enemy Lines	15.38	6.2	780	[28, 18, 53, 10752]	2001-11-30
68	tt0159365	2289	Cold Mountain	10.466	6.9	1011	[12, 18, 36, 10749]	2003-12-24
69	tt0160009	11398	The Art of War	9.089	5.7	258	[80, 28, 12]	2000-08-23
70	tt0160127	4327	Charlie's Angels	20.396	5.7	2576	[28, 12, 35, 80, 53]	2000-11-02
71	tt0160184	10375	D-Tox	10.829	5.6	258	[28, 27, 53]	2002-01-04
72	tt0160484	10383	Lost Souls	7.501	4.9	83	[27, 53]	2000-10-13
73	tt0160644	19214	Passion of Mind	4.177	5.8	18	[18, 10749]	2000-01-07
74	tt0160797	10479	Rules of Engagement	12.132	6.1	333	[28, 12, 18, 36, 10752]	2000-04-07
75	tt0160905	110989	Spooky House	2.94	5.5	11	[12, 9648, 10751]	2002-04-19
76	tt0161081	2655	What Lies Beneath	12.253	6.4	1018	[18, 27, 9648, 53]	2000-07-21
77	tt0161083	14034	What's the Worst That Could Happen?	11.329	5.2	129	[28, 35]	2001-05-31
78	tt0161216	18153	Steal This Movie	3.769	6.1	17	[18]	2000-08-18
79	tt0161860	1591	Nirgendwo in Afrika	9.532	7.4	66	[18]	2001-12-11
80	tt0162222	8358	Cast Away	20.565	7.6	6751	[12, 18]	2000-12-22
81	tt0162346	1548	Ghost World	9.206	7.2	773	[35, 18]	2001-07-20
