	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0195945	10471	Next Friday	9.823	6.3	282	[35]	2000-01-12
1	tt0196106	32834	MVP: Most Valuable Primate	5.431	4.8	34	[28, 12, 35, 18, 10751, 14, 10749]	2000-08-11
2	tt0196216	10569	Small Time Crooks	8.429	6.5	309	[28, 35, 80]	2000-05-19
3	tt0196229	9398	Zoolander	11.037	6.1	2618	[35]	2001-09-28
4	tt0197096	77434	What's Cooking?	3.425	5.8	12	[35, 18]	2000-01-20
5	tt0197311	125694	Boesman and Lena	0.969	0.0	0	[18]	2000-11-03
6	tt0197633	58520	Live Freaky Die Freaky	2.025	4.2	5	[16, 35, 10402, 878]	2006-01-31
7	tt0198021	10564	Where the Heart Is	10.017	7.1	394	[35, 18, 10749]	2000-04-27
8	tt0198386	19150	The Crew	5.293	5.7	15	[28, 35]	2000-08-21
9	tt0198781	585	Monsters, Inc.	31.198	7.8	11858	[16, 35, 10751]	2001-11-01
10	tt0199290	47816	3 Strikes	4.584	5.5	25	[28, 35, 10749]	2000-03-01
11	tt0199626	10944	In the Cut	8.658	5.1	175	[9648, 53, 18]	2003-09-09
12	tt0199725	14736	Love & Basketball	12.109	7.4	200	[28, 35, 18, 10749]	2000-04-21
13	tt0199753	8870	Red Planet	11.168	5.6	520	[28, 878, 53]	2000-11-10
14	tt0200027	11091	Riding in Cars with Boys	8.307	6.5	245	[35, 18, 10749]	2001-10-19
15	tt0200465	8848	The Bank Job	12.79	6.8	1214	[80, 18, 53]	2008-02-28
16	tt0200530	44490	Chuck & Buck	4.332	6.3	28	[35, 18]	2000-01-21
17	tt0200550	6282	Coyote Ugly	17.235	6.1	1167	[35, 18, 10402, 10749]	2000-07-30
18	tt0200720	25520	The House of Mirth	4.76	6.5	40	[18, 10749]	2000-09-23
19	tt0201485	28308	The Body	8.415	5.4	90	[18, 9648, 53, 10749]	2001-04-13
20	tt0202402	16222	Whatever It Takes	12.087	5.5	126	[35, 18, 10749]	2000-03-31
21	tt0202470	12508	Rock Star	14.27	6.2	341	[35, 18, 10402]	2001-09-04
22	tt0202641	63956	Two Family House	2.557	7.0	8	[18, 10749]	2000-01-21
23	tt0202677	1619	The Way of the Gun	8.825	6.4	209	[28, 80, 18, 53]	2000-09-08
24	tt0203009	824	Moulin Rouge!	13.221	7.6	2861	[18, 10749]	2001-03-09
25	tt0203019	11978	Men of Honor	12.074	7.2	1080	[18]	2000-09-13
26	tt0203230	14295	You Can Count on Me	9.082	7.0	157	[18, 10751]	2000-11-17
27	tt0203289	32222	American Desi	2.016	5.6	5	[18, 35, 10749]	2001-01-01
28	tt0203755	2144	One Night at McCool's	8.188	5.9	177	[35, 80]	2001-04-19
29	tt0204137	9791	Animal Factory	7.291	6.4	101	[80, 18]	2000-08-01
30	tt0204175	10571	Boys and Girls	9.427	5.6	200	[35, 18, 10749]	2000-06-16
31	tt0204313	11026	Exorcist: The Beginning	11.353	5.1	383	[27, 9648, 53]	2004-08-20
32	tt0204626	10685	The Watcher	10.34	5.0	229	[9648, 53]	2000-09-08
33	tt0204946	1588	Bring It On	8.358	6.0	1020	[35]	2000-08-25
34	tt0205271	10763	Dr. T & the Women	11.012	4.8	160	[35, 18, 10749]	2000-09-13
35	tt0205461	16110	Thomas and the Magic Railroad	4.909	4.6	26	[16, 18, 878, 10751]	2000-07-26
36	tt0205873	5257	The Dish	8.744	6.8	95	[35, 18, 36]	2000-07-11
37	tt0206226	27723	Psycho Beach Party	4.826	5.8	43	[27, 35]	2000-08-06
38	tt0206275	9816	Save the Last Dance	12.563	6.5	771	[18, 10751, 10749, 10402]	2001-01-12
39	tt0206314	10866	Joy Ride	10.029	6.4	623	[18, 9648, 53]	2001-10-05
40	tt0206367	54491	The Trumpet Of The Swan	4.45	5.4	33	[16, 10751]	2001-05-11
41	tt0206420	14629	Woman on Top	11.889	5.6	90	[35, 18, 10749, 14]	2000-09-22
42	tt0206634	9693	Children of Men	17.685	7.6	4060	[28, 18, 878, 53]	2006-09-22
43	tt0206963	25641	My First Mister	3.265	6.7	34	[35, 18, 10749]	2001-01-18
44	tt0207201	3981	What Women Want	12.102	6.3	2286	[35, 10749]	2000-12-15
45	tt0208003	9600	Big Momma's House	12.733	5.7	1303	[35, 80]	2000-05-31
46	tt0208092	107	Snatch	21.824	7.8	5251	[80, 53]	2000-09-01
47	tt0208874	6521	The Contender	7.191	6.7	113	[18, 53]	2000-10-13
48	tt0208988	10461	Get Carter	9.931	5.0	299	[28, 80, 18, 53]	2000-10-06
49	tt0208990	11447	La stanza del figlio	8.657	7.1	201	[18]	2001-03-09
50	tt0209163	1734	The Mummy Returns	21.251	6.2	4315	[28, 12, 14]	2001-05-04
51	tt0209475	2018	The Wedding Planner	11.386	5.7	949	[35, 10749]	2001-01-26
52	tt0209958	8843	The Cell	15.455	6.1	839	[27, 878, 53]	2000-08-17
53	tt0210075	19348	Girlfight	6.957	6.2	107	[18]	2000-05-01
54	tt0210567	34299	Beautiful	5.839	6.1	21	[35, 18]	2000-09-10
55	tt0210584	21370	Bootmen	4.284	5.9	21	[35, 18, 10402]	2000-10-05
56	tt0210616	10560	Center Stage	11.839	6.9	195	[18, 10402]	2000-05-12
57	tt0210945	10637	Remember the Titans	9.993	7.6	1463	[18]	2000-09-29
58	tt0211181	10481	102 Dalmatians	13.064	5.4	813	[35, 10751]	2000-10-07
59	tt0211443	11470	Jason X	15.548	4.6	630	[27, 878]	2001-07-24
60	tt0211915	194	Le Fabuleux Destin d'Amélie Poulain	17.509	7.9	6964	[35, 10749]	2001-04-25
61	tt0211933	13483	Awake	12.407	6.4	786	[80, 9648, 53]	2007-11-28
62	tt0211938	14805	Bait	9.686	6.1	88	[28, 80, 53]	2000-09-14
63	tt0212142	303118	American Storytellers	0.62	7.0	1	[]	
64	tt0212338	1597	Meet the Parents	15.272	6.6	3654	[35, 10749]	2000-10-06
65	tt0212346	1493	Miss Congeniality	17.191	6.4	2186	[28, 35, 80]	2000-12-14
66	tt0212380	17203	Blow Dry	5.496	6.1	60	[35, 18]	2001-03-01
67	tt0212712	844	2046	10.59	7.2	394	[18, 14, 878, 10749]	2004-05-20
68	tt0212720	644	A.I. Artificial Intelligence	24.6	7.0	3858	[12, 18, 878]	2001-06-29
69	tt0212827	56934	Bride of the Wind	2.342	0.0	0	[10749, 18, 10402]	2001-06-08
70	tt0212974	23655	Groove	4.938	6.1	17	[18, 10402, 10749]	2000-06-08
71	tt0212985	9740	Hannibal	3.785	6.6	2563	[80, 18, 27, 53]	2001-02-08
72	tt0213149	676	Pearl Harbor	19.823	6.8	3798	[18, 36, 10749, 10752]	2001-05-21
73	tt0213203	16340	Rugrats in Paris: The Movie	11.281	6.2	214	[12, 16, 35, 10751]	2000-09-14
74	tt0213790	16888	The Ladies Man	9.121	5.2	69	[35]	2000-10-13
75	tt0213847	10867	Malèna	21.517	7.1	718	[18]	2000-10-27
76	tt0213890	11518	मोहब्बतें	6.576	6.8	109	[18, 10749]	2000-10-27
77	tt0215129	9285	Road Trip	13.271	6.0	1018	[35, 12]	2000-05-19
78	tt0215139	271462	Russian Doll	1.4	10.0	1	[10749, 35, 18]	2001-06-14
79	tt0215545	24664	Bamboozled	4.934	6.3	50	[35, 18]	2000-10-06
80	tt0215750	853	Enemy at the Gates	14.84	7.3	1915	[28, 18, 36, 10749, 10752]	2001-03-14
81	tt0215850	69843	Hochelaga	2.509	7.3	6	[18]	2000-09-01
82	tt0216216	8452	The 6th Day	12.727	5.9	1113	[9648, 878, 28]	2000-11-17
83	tt0216772	9995	Turn It Up	4.544	5.2	11	[28, 80, 18]	2000-09-06
84	tt0216787	10697	Le Goût des autres	8.889	6.7	114	[35, 18, 10749]	2000-03-01
