	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
80	tt0277296	9334	The Scorpion King	24.274	5.4	1848	[28, 12, 14]	2002-04-18
81	tt0277371	11397	Not Another Teen Movie	16.5	5.5	1034	[35]	2001-12-07
82	tt0277434	10590	We Were Soldiers	13.572	6.9	984	[28, 36, 10752]	2002-03-01
83	tt0277895	54807	Mickey	2.131	6.3	2	[18, 10751]	2004-05-02
84	tt0277941	10544	Ned Kelly	10.562	6.1	208	[28, 12, 18, 36]	2003-03-22
85	tt0278102	151727	Trembling Before G-d	2.123	6.7	3	[]	2001-12-06
86	tt0278295	13950	All About the Benjamins	11.296	6.1	85	[28, 12, 35]	2002-03-08
87	tt0278435	1957	Enough	12.26	6.4	565	[18, 53]	2002-05-21
88	tt0278488	8386	How High	12.413	6.2	474	[35]	2001-12-21
89	tt0278500	9026	The Importance of Being Earnest	9.87	6.9	276	[35, 18, 36, 10749]	2002-05-17
90	tt0278504	320	Insomnia	13.809	6.9	2533	[80, 9648, 53]	2002-05-24
91	tt0278522	46430	Jodi No.1	1.545	4.7	10	[35, 18, 10749]	2001-04-13
92	tt0278731	9613	Spider	8.356	6.6	373	[18, 9648, 53]	2002-12-13
93	tt0278823	9689	Hollywood Ending	8.238	6.6	237	[35, 18]	2002-05-03
94	tt0279064	6007	Elling	5.457	7.2	82	[35, 18]	2001-03-16
95	tt0279065	35651	L'emploi du temps	3.184	6.5	35	[18]	2001-09-10
96	tt0279111	16072	Gods and Generals	9.736	6.0	85	[18, 36, 10752]	2003-02-21
97	tt0279113	9962	The Good Girl	8.979	6.0	314	[35, 18, 10749]	2002-01-12
98	tt0279286	34043	On the Line	4.054	4.3	20	[35, 10749, 10751]	2001-10-26
99	tt0279493	12277	Undercover Brother	8.889	5.6	203	[28, 35]	2002-05-31
