	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0218922	2057	Original Sin	17.829	5.9	430	[53]	2001-05-08
1	tt0218967	5994	The Family Man	9.718	6.7	1064	[35, 18, 14, 10749]	2000-12-12
2	tt0219400	21118	Waking Up in Reno	6.654	5.1	41	[35, 10749]	2002-12-13
3	tt0219405	13915	Waydowntown	2.442	5.6	8	[35, 18, 27]	2000-01-01
4	tt0219653	10577	Dracula 2000	9.67	4.7	317	[53, 27]	2000-12-22
5	tt0219699	2046	The Gift	14.668	6.5	613	[18, 27, 9648, 53]	2000-12-22
6	tt0219756	96218	Heartbreak Hospital	0.92	0.0	0	[35, 10749]	2002-09-06
7	tt0219854	4244	The Kid	8.537	6.2	497	[35, 14, 10751]	2000-07-07
8	tt0219952	10783	Lucky Numbers	10.899	4.9	88	[35, 80]	2000-10-27
9	tt0219965	3172	Bandits	11.39	6.3	550	[35, 80]	2001-10-12
10	tt0220099	15655	The Tigger Movie	15.166	6.4	315	[16, 35, 10751]	2000-02-11
11	tt0220100	36234	Timecode	6.707	6.1	39	[18]	2000-03-22
12	tt0220506	11442	Halloween: Resurrection	11.768	4.5	589	[27, 53]	2002-07-01
13	tt0220596	232711	Khauff	1.753	4.0	1	[]	2000-03-02
14	tt0220627	35650	Maelström	2.865	6.5	52	[18]	2000-09-08
15	tt0221013	56717	Séraphin: Un homme et son péché	2.84	5.8	9	[18, 10749]	2002-12-01
16	tt0221027	4133	Blow	15.547	7.4	2613	[80, 18]	2001-04-04
17	tt0221218	2176	The Glass House	16.151	5.7	450	[18, 53]	2001-09-14
18	tt0221799	37920	An American Rhapsody	3.771	6.5	29	[18, 10751]	2001-06-22
19	tt0221809	73981	Ayurveda: Art of Being	2.157	5.4	4	[99]	2001-09-20
20	tt0222012	60579	ஹே ராம்	2.07	6.4	17	[18]	2000-02-18
21	tt0222270	97351	फिर भी दिल है हिंदुस्तानी	4.088	6.4	37	[35, 18, 10749]	2000-01-21
22	tt0222850	22597	The Broken Hearts Club: A Romantic Comedy	5.94	6.7	43	[35, 18, 10749]	2000-02-01
23	tt0223828	279709	Off the Lip	0.842	0.0	0	[]	2004-05-01
24	tt0223897	10647	Pay It Forward	10.157	7.2	988	[18, 10749, 35]	2000-10-20
25	tt0225071	5852	Angel Eyes	8.353	5.7	185	[18, 10749, 53]	2001-05-15
26	tt0225196	287807	Blue Moon	2.549	0.0	0	[35, 18]	2000-01-16
27	tt0226430	68206	Shadow Hours	2.021	5.0	1	[18, 53]	2000-07-16
28	tt0227005	15745	Made	10.137	6.2	91	[28, 35, 53]	2001-07-13
