	imdb_id	id	original_title	popularity	vote_average	vote_count	genre_ids	release_date
0	tt0241025	11632	Vanity Fair	9.548	5.8	178	[18, 10749]	2004-09-01
1	tt0241223	15486	The Bank	3.388	5.3	21	[18, 53]	2001-09-06
2	tt0241303	392	Chocolat	12.56	6.9	2036	[35, 18, 10749]	2000-12-14
3	tt0241527	671	Harry Potter and the Philosopher's Stone	55.461	7.8	15489	[12, 14, 10751]	2001-11-16
4	tt0241760	10985	The New Guy	10.35	5.7	294	[35, 10751]	2002-05-10
5	tt0242193	9517	Bully	9.853	6.6	227	[80, 18]	2001-09-28
6	tt0242252	19076	The Affair of the Necklace	7.795	5.9	49	[18, 36, 10749]	2001-11-20
7	tt0242423	8859	Dude, Where's My Car?	13.531	5.4	1056	[35, 878]	2000-12-15
8	tt0242445	10877	Exit Wounds	12.622	5.4	221	[28]	2001-03-13
9	tt0242587	18734	L.I.E.	6.385	6.9	53	[18, 80]	2001-01-20
10	tt0242653	605	The Matrix Revolutions	18.414	6.6	5703	[28, 12, 878, 53]	2003-11-03
11	tt0242994	55372	Va savoir	2.023	7.1	12	[35, 80, 18]	2001-09-28
12	tt0242998	10984	Valentine	9.482	5.2	265	[27, 53]	2001-02-01
13	tt0243017	9081	Waking Life	12.898	7.7	509	[16, 18]	2001-01-23
14	tt0243133	10778	The Man Who Wasn't There	8.904	7.6	799	[80, 53]	2001-10-26
15	tt0243155	634	Bridget Jones's Diary	15.296	6.7	3083	[35, 10749, 18]	2001-04-13
16	tt0243255	570	À ma soeur!	10.046	6.4	89	[18]	2001-03-07
17	tt0243415	26916	Mercy Streets	1.453	6.0	4	[28, 12, 18]	2000-10-31
18	tt0243493	11444	Le Placard	6.513	6.3	250	[35]	2001-01-17
19	tt0243585	10996	Stuart Little 2	14.497	5.6	1449	[12, 16, 35, 10751]	2002-07-19
20	tt0243655	2171	Wet Hot American Summer	7.897	6.4	498	[35]	2001-07-27
21	tt0243736	2752	40 Days and 40 Nights	11.338	5.3	632	[35, 10749]	2002-03-01
22	tt0243862	112	Italiensk for begyndere	6.135	6.6	63	[35, 18, 10749]	2000-12-07
23	tt0244000	13496	American Outlaws	11.332	6.0	116	[28, 37]	2001-08-17
24	tt0244244	9705	Swordfish	16.885	6.2	1619	[28, 80, 53]	2001-06-07
25	tt0244316	25538	一一	13.224	8.0	189	[18, 10749]	2000-09-20
26	tt0244479	15813	Tmavomodrý svět	4.649	6.9	36	[28, 18, 10752]	2001-05-17
27	tt0244528	46385	Hadh कर दी आपने	3.789	5.2	9	[35, 10749]	2000-04-14
28	tt0244709	52616	Pavilion of Women	4.862	5.4	8	[10752, 18, 10749]	2001-03-16
29	tt0244970	12658	Someone Like You...	11.53	6.0	214	[35, 10749]	2001-03-30
30	tt0245046	12660	Charlotte Gray	6.465	6.1	70	[18, 36, 10749, 10752]	2001-12-17
31	tt0245115	17731	The Fluffer	4.376	6.2	18	[35, 18]	2001-02-11
32	tt0245120	12484	The Forsaken	8.455	5.4	87	[28, 12, 27, 53]	2001-04-27
33	tt0245238	17612	Lost and Delirious	11.62	7.0	296	[18, 10749]	2001-01-21
34	tt0245280	24977	Michael Jordan to the Max	5.367	7.3	13	[99]	2000-05-05
35	tt0245429	129	千と千尋の神隠し	40.207	8.5	8366	[16, 14, 10751]	2001-07-20
36	tt0245479	44635	Just a Kiss	3.974	4.3	9	[35, 10749]	2002-06-15
37	tt0245562	12100	Windtalkers	11.334	5.9	618	[28, 18, 36, 10752]	2002-06-14
38	tt0245574	1391	Y tu mamá también	13.105	7.4	689	[18, 10749]	2001-06-08
39	tt0245674	9378	Thir13en Ghosts	11.859	5.7	907	[27, 53]	2001-10-26
40	tt0245686	10956	Joe Dirt	12.712	5.5	417	[12, 35, 18, 9648, 10749]	2001-04-10
41	tt0245803	11817	Bulletproof Monk	10.89	5.3	497	[28, 35, 14]	2003-03-28
42	tt0245825	161221	Chal Mere Bhai	2.633	4.9	16	[10749, 35]	2000-05-04
43	tt0245837	54986	춘향뎐	2.208	6.9	19	[18, 10749]	2000-01-29
44	tt0245844	11362	The Count of Monte Cristo	15.803	7.5	889	[28, 12, 18, 53]	2002-01-23
45	tt0245891	45864	Extreme Days	3.081	4.7	8	[28, 12, 35, 10749]	2001-09-28
46	tt0245904	579394	Forgive Me Father	0.841	0.0	0	[]	2001-01-10
47	tt0246002	38803	Kingdom Come	3.341	6.8	11	[35, 18]	2001-04-11
48	tt0246134	35944	Lucky Break	3.626	6.4	19	[28, 35]	2001-08-24
49	tt0246404	18165	The 24th Day	3.632	6.9	35	[18, 53]	2004-05-06
50	tt0246460	36669	Die Another Day	19.763	5.9	2046	[28, 12, 53]	2002-11-17
51	tt0246464	2185	Big Trouble	9.395	6.2	153	[28, 35, 9648, 53]	2002-04-05
52	tt0246544	11370	The Musketeer	11.943	5.3	113	[12]	2001-09-07
53	tt0246578	141	Donnie Darko	24.048	7.8	7545	[18, 14, 9648]	2001-01-18
54	tt0246628	18192	Focus	4.372	6.6	14	[18]	2001-10-19
55	tt0246677	10575	Heaven	9.506	6.6	131	[80, 18, 53, 10749]	2002-02-06
56	tt0246894	11535	Rollerball	8.338	3.9	252	[28, 878, 53]	2002-02-08
57	tt0246989	10646	Tomcats	11.278	5.2	129	[35, 10749]	2001-03-30
58	tt0247196	5001	Before Night Falls	9.869	6.8	138	[18]	2000-09-03
59	tt0247199	4012	The Believer	7.707	7.1	328	[18]	2001-10-10
60	tt0247425	1999	In the Bedroom	11.473	6.8	167	[18, 53]	2001-11-23
61	tt0247444	35696	Juwanna Mann	4.787	5.1	43	[35]	2002-06-21
62	tt0247638	9880	The Princess Diaries	29.365	6.8	2862	[35, 10751, 10749]	2001-08-03
63	tt0248012	56666	फ़िज़ा	4.098	6.0	14	[18, 10749]	2000-09-08
64	tt0248126	10757	कभी ख़ुशी कभी ग़म	7.818	7.7	220	[35, 18]	2001-12-14
65	tt0248169	78528	Manna from Heaven	2.344	0.0	0	[35]	2002-09-14
66	tt0248408	8366	Der Schuh des Manitu	10.978	6.9	272	[35, 37]	2001-07-11
67	tt0248617	39837	यादें	3.16	5.0	15	[18]	2001-07-27
68	tt0248667	8489	Ali	8.659	6.8	940	[18]	2001-12-11
69	tt0248845	13403	Hedwig and the Angry Inch	9.992	7.7	164	[35, 10402, 18]	2001-07-20
70	tt0249371	4435	अशोक	6.563	5.9	61	[36, 10402, 10749, 10752, 28]	2001-09-13
71	tt0249380	3134	Baise-moi	15.803	4.2	174	[80, 18, 10749, 53]	2000-06-28
72	tt0249462	71	Billy Elliot	19.588	7.6	2235	[35, 18, 10402]	2000-05-18
73	tt0249478	11456	Domestic Disturbance	7.221	5.6	205	[80, 9648, 53]	2001-10-28
74	tt0249516	116977	Foodfight!	9.547	1.9	63	[28, 16, 35, 10751]	2012-06-15
75	tt0249588	325140	Hum To Mohabbat Karega	1.124	4.0	1	[]	2000-05-26
76	tt0250081	16550	Storytelling	8.99	6.6	103	[35, 18]	2001-11-08
77	tt0250202	21055	All Over the Guy	3.889	6.3	32	[35, 10749]	2001-08-10
78	tt0250224	10691	Crazy/Beautiful	7.571	6.5	187	[18, 10749]	2001-06-29
79	tt0250274	20322	The Brothers	4.791	7.1	19	[35, 18, 10749]	2001-03-23
80	tt0250310	17708	Corky Romano	10.122	4.2	83	[28, 35, 80]	2001-10-12
81	tt0250323	24936	The Deep End	7.267	6.2	67	[80, 18, 9648]	2001-01-21
82	tt0250371	16651	The Other Side of Heaven	5.59	6.5	27	[28, 12, 18, 10751]	2001-04-12
